 Index   | Name                     | Rank   | Clan   | Rank
 396     | VOVchik_7_5_             | 1301   | BEARS  | 1
 397     | Easy_On                  | 1311   | VEIZE  | 28
 398     | AlohaMidnight            | 1317   | S__BY  | 8
 399     | Fastkill_B_TaHke         | 1330   | VEIZE  | 28
 400     | powerfully_ownZ          | 1332   | -AIFA  | 2
 401     | lu4nikoo7                | 1338   | HYBRO  | 12
 402     | 1g_S1ovak_SexyPistol     | 1339   | 0IL    | 5
 403     | TynaMATb                 | 1341   | KOPM2  | 7
 404     | _CePbIY_BOJIK_           | 1342   | P_BY   | 26
 405     | Free_Max                 | 1358   | ZENIX  | 27
 406     | GungnirLance             | 1371   | AJIEN  | 19
 407     | LexArgHund               | 1372   | MAWA   | 13
 408     | kopsh0000                | 1373   | BEAPS  | 11
 409     | 9l_UKROP                 | 1376   | HEAX   | 4
 410     | CMeX_CTAPyXu             | 1382   | MAWA   | 13
 411     | Proga_                   | 1395   | -AIFA  | 2
 412     | JohnyRockstar            | 1397   | QRAGE  | 6
 413     | HalloSadness             | 1404   | -AIFA  | 2
 414     | Mil123                   | 1414   | MAWA   | 13
 415     | cynosure                 | 1416   | HYBRO  | 12
 416     | Propul_CkuJlJl_v_        | 1422   | FOPZE  | 20
 417     | Evgen19042004            | 1431   | 0IL    | 5
 418     | _WaTeR__WaY_             | 1436   | _QX_   | 15
 419     | mr_COBECTb__             | 1438   | C_Y_B  | 25
 420     | bandun                   | 1458   | ZENIX  | 27
 421     | Flave_                   | 1461   | CR_PA  | 14
 422     | The_R_i_p_King           | 1466   | 0IL    | 5
 423     | 404_ChieFir4iK_          | 1470   | _QX_   | 15
 424     | RatedRSuperstar          | 1471   | QRAGE  | 6
 425     | _PayrosZeus              | 1472   | S__BY  | 8
 426     | akella122                | 1481   | _QX_   | 15
 427     | Iaitoviy                 | 1483   | BKYCU  | 37
 428     | lCHILLYl                 | 1497   | HEAX   | 4
 429     | Kwainz                   | 1501   | ESEA   | 21
